# Итог проверки quality gate
QUALITY_GATE: PASS
# PASS = можно выпускать | FAIL = есть блокирующие проблемы
enforce: false
# true = quality gate реально валит сборку
report_file: docs/raw/alstyle_quality_gate.txt
# Куда записан этот отчёт
baseline_file: scripts/suppliers/alstyle/config/quality_baseline.yml
# Базовый файл для сравнения известных cosmetic-проблем
freeze_current_as_baseline: no
# yes = текущие cosmetic-хвосты сохранены как baseline-снимок
critical_count: 0
# Сколько найдено критичных проблем
cosmetic_total_count: 916
# Общее число некритичных проблем
cosmetic_offer_count: 916
# В скольких товарах есть cosmetic-проблемы
known_cosmetic_count: 0
# Сколько cosmetic-проблем уже известны по baseline
known_cosmetic_offer_count: 0
# В скольких товарах есть уже известные cosmetic-проблемы
new_cosmetic_count: 916
# Сколько найдено новых cosmetic-проблем
new_cosmetic_offer_count: 916
# В скольких товарах появились новые cosmetic-проблемы
max_cosmetic_offers: 5
# Допустимый максимум товаров с cosmetic-проблемами
max_cosmetic_issues: 5
# Допустимый максимум cosmetic-проблем всего

CRITICAL:
# Ошибок в этой секции нет

COSMETIC TOTAL:
AS31901 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS31902 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS31903 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS31904 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS31905 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS31906 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS32438 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS32439 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS32450 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS32678 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS32841 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS358903 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS358904 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS359833 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS359834 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS359849 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS359850 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS359851 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS359852 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS359853 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS359854 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS359855 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS359856 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS359857 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS359858 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS359859 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS359860 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS359861 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS359867 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS359876 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360143 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360150 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360226 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360345 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360346 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360347 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360348 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360349 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360350 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360364 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360365 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360369 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360370 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360371 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360373 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360488 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360493 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360517 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360520 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360521 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360522 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360523 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360534 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360568 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360573 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360574 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360575 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360576 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360588 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360619 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360633 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360642 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360643 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360644 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360690 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360702 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360728 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360729 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360732 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360801 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360808 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360827 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360842 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360868 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360877 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360885 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360890 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360943 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360957 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360968 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360974 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS360991 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS361010 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS361042 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS361388 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS361389 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS361391 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS361731 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS361809 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS361811 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS361812 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS361813 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS361818 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS361819 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS361820 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS361821 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS361823 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS36265 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS36266 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS36267 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS36268 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS362898 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS36443 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS36444 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS36492 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS36494 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS36495 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS36496 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS36503 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS36504 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS365968 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS369064 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS373801 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS382215 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS382779 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS383033 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS385096 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS385121 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS385544 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS385893 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS389183 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS389184 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390436 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390437 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390438 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390439 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390446 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390447 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390448 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390449 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390450 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390451 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390452 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390453 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390454 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390455 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390460 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390461 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390462 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390463 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390464 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390465 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390466 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390467 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390468 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390469 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS390470 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39091 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39119 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39120 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39170 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS391865 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39285 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39286 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39287 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39288 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39289 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39290 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39291 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39292 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39293 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39295 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39296 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39297 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39298 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39300 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39301 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39423 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39424 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39425 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS39426 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS396477 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS396764 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS396772 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS396775 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS396778 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS397386 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS397387 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS397388 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS397389 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS397390 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS397391 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS397392 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS397957 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS397958 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS397989 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS398925 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS399528 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS399529 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS399530 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS399531 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS399717 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS399718 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS399719 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS399726 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS399731 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS399973 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS400237 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS400238 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS400239 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS400268 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS400345 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS400347 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS400349 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS400350 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS400352 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS400354 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS400355 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS400356 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS400360 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS400361 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS400372 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS400375 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS401535 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS401536 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS401537 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS401538 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS401539 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS401540 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS401541 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS401542 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS402916 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS402917 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS403487 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS403557 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS403558 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS403560 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS403561 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS403563 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
